"Qty";"Value";"Device";"Package";"Parts";"Description";"POPULARITY";"SPICEPREFIX";
"3";"0";"R-US_R0805";"R0805";"R1, R2, R5";"RESISTOR, American symbol";"85";"R";
"8";"100nF";"C-USC0805K";"C0805K";"C3, C4, C5, C6, C7, C8, C9, C10";"CAPACITOR, American symbol";"19";"C";
"5";"1k";"R-US_R0805";"R0805";"R3, R4, R13, R14, R15";"RESISTOR, American symbol";"85";"R";
"2";"1uF";"C-USC0805K";"C0805K";"C1, C2";"CAPACITOR, American symbol";"19";"C";
"7";"47";"R-US_R0805";"R0805";"R6, R7, R8, R9, R10, R11, R12";"RESISTOR, American symbol";"85";"R";
"1";"ADS1246IPWR";"ADS1246IPWR";"ADS1246IPWR";"U1";"";"";"";
"1";"APA2107QWF/D";"APA2107QWF/D";"APA2107QWF/D";"U5";"";"";"";
"1";"C5SMF-RJE-CT0W0BB2";"C5SMF-RJE-CT0W0BB2";"C5SMF-RJE-CT0W0BB2";"U4";"";"";"";
"1";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"X1";"MKDSN 1,5/ 2-5,08 Printklemme";"14";"";
"1";"PTS526";"PTS526";"PTS526";"U8";"";"";"";
"1";"STM32F103C8T6";"STM32F103C8T6";"48-LQFP";"U2";"";"";"";
"1";"TS104TAA";"TS104TAA";"TS-104-T-AA";"U6";"";"";"";
"1";"USB4105-GF-A";"USB4105-GF-A";"USB4105-GF-A";"U3";"";"";"";
"1";"XC6206P33MR-G";"XC6206P33MR-G";"SOT-23";"U7";"";"";"";
