"Part";"Value";"Device";"Package";"Description";"POPULARITY";"SPICEPREFIX";
"C1";"1uF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"19";"C";
"C2";"1uF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"19";"C";
"C3";"100nF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"19";"C";
"C4";"100nF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"19";"C";
"C5";"100nF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"19";"C";
"C6";"100nF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"19";"C";
"C7";"100nF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"19";"C";
"C8";"100nF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"19";"C";
"C9";"100nF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"19";"C";
"C10";"100nF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"19";"C";
"R1";"0";"R-US_R0805";"R0805";"RESISTOR, American symbol";"85";"R";
"R2";"0";"R-US_R0805";"R0805";"RESISTOR, American symbol";"85";"R";
"R3";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"85";"R";
"R4";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"85";"R";
"R5";"0";"R-US_R0805";"R0805";"RESISTOR, American symbol";"85";"R";
"R6";"47";"R-US_R0805";"R0805";"RESISTOR, American symbol";"85";"R";
"R7";"47";"R-US_R0805";"R0805";"RESISTOR, American symbol";"85";"R";
"R8";"47";"R-US_R0805";"R0805";"RESISTOR, American symbol";"85";"R";
"R9";"47";"R-US_R0805";"R0805";"RESISTOR, American symbol";"85";"R";
"R10";"47";"R-US_R0805";"R0805";"RESISTOR, American symbol";"85";"R";
"R11";"47";"R-US_R0805";"R0805";"RESISTOR, American symbol";"85";"R";
"R12";"47";"R-US_R0805";"R0805";"RESISTOR, American symbol";"85";"R";
"R13";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"85";"R";
"R14";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"85";"R";
"R15";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"85";"R";
"U$1";"APA2107QWF/D";"APA2107QWF/D";"APA2107QWF/D";"";"";"";
"U$2";"C5SMF-RJE-CT0W0BB2";"C5SMF-RJE-CT0W0BB2";"C5SMF-RJE-CT0W0BB2";"";"";"";
"U$3";"XC6206P33MR-G";"XC6206P33MR-G";"SOT-23";"";"";"";
"U$6";"TS104TAA";"TS104TAA";"TS-104-T-AA";"";"";"";
"U$7";"PTS526";"PTS526";"PTS526";"";"";"";
"U1";"ADS1246IPWR";"ADS1246IPWR";"ADS1246IPWR";"";"";"";
"U2";"STM32F103C8T6";"STM32F103C8T6";"48-LQFP";"";"";"";
"U3";"USB4105-GF-A";"USB4105-GF-A";"USB4105-GF-A";"";"";"";
"X1";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN 1,5/ 2-5,08 Printklemme";"14";"";
